ID,Товар,Цена покупки,Количество,Время покупки,Время анализа,Цена продажи,Время продажи,Прибыль (%),Статус
2,Disco MAC (Charm),0.86,1,2025-06-04 20:51:27,2025-06-04 20:51:27,,,,Активна
3,P250 Franklin (FN),1.53,1,2025-06-04 20:52:50,2025-06-04 20:52:50,,,,Активна
4,G3SG1 Green Apple(FN),0.24,1,2025-06-04 20:53:27,2025-06-04 20:53:27,,,,Активна
5,Name Tag,1.18,1,2025-06-04 20:54:02,2025-06-04 20:54:02,,,,Активна
7,StatTrak™ MAC-10 | Saibā Oni (Battle-Scarred) ,1.11,1,2025-06-04 20:58:17,2025-06-04 20:58:17,,,,Активна
8,StatTrak™ MAC-10 | Saibā Oni (Battle-Scarred) ,1.11,1,2025-06-04 20:58:27,2025-06-04 20:58:27,,,,Активна
9,StatTrak™ MAC-10 | Saibā Oni (Battle-Scarred) ,1.11,1,2025-06-04 20:58:33,2025-06-04 20:58:33,,,,Активна
10,StatTrak™ MAC-10 | Saibā Oni (Battle-Scarred) ,1.11,1,2025-06-04 20:58:41,2025-06-04 20:58:41,,,,Активна
11,StatTrak™ MAC-10 | Saibā Oni (Battle-Scarred) ,1.11,1,2025-06-04 20:59:32,2025-06-04 20:59:32,,,,Активна
12,StatTrak™ MAC-10 | Saibā Oni (Battle-Scarred) ,1.11,1,2025-06-04 20:59:41,2025-06-04 20:59:41,,,,Активна
13,StatTrak™ MP7 | Bloodsport (Minimal Wear,7.66,1,2025-06-04 21:00:15,2025-06-04 21:00:15,,,,Активна
14,Five-SeveN Mokey Business (FT),2.3,1,2025-06-05 00:47:19,2025-06-05 00:47:19,,,,Активна
15,ST Serpent Strike Desert Deagle (MW),2.67,1,2025-06-05 01:10:56,2025-06-05 01:10:56,,,,Активна
16,StatTrak™ MP7 | Bloodsport (Minimal Wear),7.66,1,2025-06-05 01:10:56,2025-06-05 01:10:56,,,,Активна
